Code	d15N	d13C
1	19.7	-15.6
1	13.1	-15.8
1	18.4	-13.5
1	17.2	-14.2
1	13.3	-18.9
1	14.1	-17.4
2	10.6	-13.4
2	13.3	-15.6
2	8.5	-16.6
2	10.3	-22.9
3	14.7	-21.1
3	7	-18.1
3	8.7	-15.2
3	5.4	-14.2
3	6.6	-13.1
3	11.9	-22.3
3	9.8	-23.1
3	9.7	-19.6
4	10.2	-17.4
4	9.6	-15.8
4	12.6	-14.3
4	11.9	-14
4	11.5	-14.8
5	10.2	-18.1
5	11.3	-19.1
5	10.6	-22
5	11.4	-22
5	10.3	-16.8
5	9.6	-18.8
5	13	-21.3
5	13.5	-16.1
5	15.8	-18.9
5	15.7	-19.9
5	10.9	-18.6
5	13.6	-17.5
5	12.3	-14.1
6	11.3	-13.1
6	12.9	-14.1
7	9.8	-15.3
7	11.3	-18.6
7	9	-16.1
7	8.5	-18.4
7	10.9	-20.5
8	12.8	-17
8	12.3	-17.6
8	8.7	-14.4
8	12.6	-14.2
8	11.9	-21.7
8	11.1	-19
8	11.8	-16.7
8	10.7	-18.8
8	7	-16.5
9	10.7	-21.4
9	9.2	-21.5
9	7.7	-11.4
9	11.9	-13.9
10	8.7	-15.9
