ORIG_DATA_ORDER,Island,Date,Analysis,Identifier 1,Taxon,Amt%N,Amt%C,d13C,,,D13c_zscore,d15N,,,Ampl  44,Amount,Ampl  28,C_Nratio
117,Pinta,10/3/2011,24220,GAL-P-Alte-3,Alte,1.9173852,41.2708717,-30.837,-28.84693818,1.058194347,-0.737765627,7.2,6.235135135,2.774323995,3210,1.187,676,22.1
116,Pinta,10/3/2011,24219,GAL-P-Alte-2,Alte,1.4498662,40.4224417,-30.602,,,-0.77472412,7,,,2725,1.042,389,32.5
115,Pinta,10/3/2011,24218,GAL-P-Alte-1,Alte,2.1925163,41.5300357,-30.321,,,-0.805632467,8.8,,,2995,1.12,555,25.1
146,Pinta,10/3/2011,24255,GAL-P-Zant-1,Zant,2.0849774,37.2234321,-30.308,,,1.598773939,4.3,,,2699,1.074,612,21.1
148,Pinta,10/3/2011,24257,GAL-P-Zant-3,Zant,1.8833689,35.8700966,-30.149,,,1.612321002,4.2,,,2837,1.115,458,29.5
6,Espanola,8/27/2010,19694,Cordia 3,Cordia,1.3294242,43.1194017,-30.08295,,,1.644150024,4.1,,,3282,1.323,558,28.2
130,Pinta,10/3/2011,24235,GAL-P-Lant-3,Lant,1.5829634,43.6240689,-30.06,,,-0.862567832,5.1,,,NA,NA,NA,34.4
139,Pinta,10/3/2011,24246,GAL-P-Piso-3,Piso,2.5947451,38.9364972,-29.998,,,-0.856924294,5.6,,,NA,NA,NA,30.9
147,Pinta,10/3/2011,24256,GAL-P-Zant-2,Zant,1.7287273,37.9375862,-29.92,,,-0.837877351,5,,,NA,NA,NA,31
5,Espanola,8/27/2010,19693,Cordia 2,Cordia,1.421708,43.5859463,-29.91226,,,-0.55284164,3.5,,,3193,1.238,357,42.7
129,Pinta,10/3/2011,24234,GAL-P-Lant-2,Lant,1.9114,42.4257803,-29.749,,,-0.814136355,8.4,,,3828,1.455,546,33.6
4,Espanola,8/27/2010,19692,Cordia 1,Cordia,1.4347976,42.1036575,-29.72743,,,-0.937767983,8.8,,,NA,NA,NA,34.2
137,Pinta,10/3/2011,24244,GAL-P-Piso-1,Piso,1.9738789,40.0642345,-29.715,,,-0.963587172,8.8,,,NA,NA,NA,35.8
128,Pinta,10/3/2011,24233,GAL-P-Lant-1,Lant,1.8478548,42.3208425,-29.588,,,-0.987431122,7.9,,,NA,NA,NA,37.8
